GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API,com.Employee.API.services,EmployeeService,0,962,0,86,0,233,0,63,0,20
API,com.Employee.API.response,ResponseDTO,0,17,0,0,0,8,0,5,0,5
API,com.Employee.API.response,ResponseMessage,0,16,0,0,0,8,0,4,0,4
API,com.Employee.API.response,ManagerChangeResponseDTO,0,16,0,0,0,7,0,4,0,4
API,com.Employee.API.response,EmployeeResponseDTO,0,73,0,0,0,31,0,21,0,21
API,com.Employee.API.response,ResponseDTO.Details,0,31,0,0,0,13,0,9,0,9
API,com.Employee.API.models,DepartmentModel,0,24,0,0,0,10,0,7,0,7
API,com.Employee.API.models,ManagerModel,0,24,0,0,0,10,0,7,0,7
API,com.Employee.API.models,ManagerEmployeeModel,0,31,0,0,0,13,0,9,0,9
API,com.Employee.API.models,EmployeeModel,0,104,0,0,0,35,0,24,0,24
API,com.Employee.API.controllers,EmployeeController,0,114,0,2,0,27,0,9,0,8
API,com.Employee.API.helpers,ManagerChangeRequest,0,17,0,0,0,7,0,5,0,5
